LABEL,TEXT
01_QUESTION,Title
01_EXPLAIN,"What is the working title of your study? It is helpful if this is the same title that you submit for publication of your final manuscript, but it is not a requirement."
01_HELP,Effect of sugar on brownie tastiness.
01_NAV,Title
02_QUESTION,Authorship
02_EXPLAIN,The award goes to the first author of the pre-registered study is the recipient of the award money and must also be the first author of the published manuscript.
02_HELP,"Jimmy Stewart, Ava Gardner, Bob Hope, Greta Garbo"
02_NAV,Authors
03_QUESTION,Conflict of Interest
03_EXPLAIN,"Could the results of this project benefit the financial interests of any of its authors, or be reasonably perceived to do so?"
03_HELP,The authors of this study own a majority share of Tastee Sugar Company.
03_NAV,COI
04_QUESTION,Research questions and hypotheses
04_EXPLAIN,What are your research questions and hypotheses? Both directional and non-directional hypotheses are acceptable.
04_HELP,"There is strong evidence to suggest that sugar affects taste preferences, but the effect has never been demonstrated in brownies. Therefore, we will measure taste preference for four different levels of sugar concentration in a standard brownie recipe. If taste effects preferences, then mean preference indices will be higher with higher concentrations of sugar."
04_NAV,Questions and Hypotheses
05_QUESTION,Data collection procedures.
05_EXPLAIN,"Please describe the process by which you will collect your data. If you are using human subjects, this should include the population from which you obtain subjects, recruitment efforts, payment for participation, how subjects will be selected for eligibility from the initial pool (e.g. inclusion and exclusion rules), and your study timeline. For studies that don't include human subjects, include information about how you will collect samples, duration of data gathering efforts, or batch numbers you will use. "
05_HELP,Participants will be recruited through paper advertisements at local pastry shops. Participants will be paid $10 for agreeing to participate (raised to $30 if our sample size is not reached within 15 days of beginning recruitment). Participants must be at least 18 years old and be able to eat the ingredients of the pastries.
05_NAV,Collection Procedures
06_QUESTION,Sample Size
06_EXPLAIN,"What is your sample size? How many units will be analyzed in the study? This could be the number of people, birds, classrooms, plots, interactions, or countries included. If the units are not individuals, then describe the size requirements for each unit. If you are using a clustered or multilevel design, how many units are you collecting at each level of the analysis?"
06_HELP,"Our target sample size is 280 participants. We will attempt to recruit up to 320, assuming that not all will complete the total task. "
06_NAV,Sample Size
07_QUESTION,Sample size rationale
07_EXPLAIN,"This could include a power analysis or an arbitrary constraint such as resource availability. Include a stopping rule. "
07_HELP,"We used the software program G*Power to conduct a power analysis. Our goal was to obtain .95 power to detect a medium effect size of .25 at the standard .05 alpha error probability. We will stop recruiting participants at 320 (to account for incomplete data) or after 30 days, whichever comes first. "
07_NAV,Rationale
08_QUESTION,Please check and certify one of the following statements
08_MC01,"I certify that none of the data that will be used in this upcoming study have yet been collected. Please enter your name and the phrase ""I certify"" in the following box. Why is this necessary?"
08_MC02,"I will be using pre-existing data in this study. I certify that I have no knowledge about any of its basic descriptive statistics, nor am I aware of any differences or relationships within the data that I will use. Please enter your name and the phrase ""I certify"" in the following boxes."
08_NAV,Verify
09_QUESTION,Study type
09_MC01,"Experiment (A researcher randomly assigns treatments to study subjects, this includes field or lab experiments. This is also known as an intervention experiment or a randomized controlled trial."
09_MC02,"Observational Study (Data is collected from study subjects that are not randomly assigned to a treatment. This includes surveys, natural experiments, and regression discontinuity designs.)"
09_MC03,Meta-Analysis (a systematic review of published studies)
09_MC04,Other (please explain)
09_NAV,Study Type
10_QUESTION,Blinding
10_MC01,Not applicable: This study will not assign treatments to subjects (e.g. observational studies or meta-analyses).
10_MC02,"Yes, single blind: Human subjects of the study will not know if they are assigned to a treatment or control group. Experimenters will have that knowledge."
10_MC03,"Yes, double blind: Neither the human subjects, nor the experimenters taking measurements from a subject will have knowledge of the treatment."
10_MC04,No: both human subjects and researchers are aware of the treatment groups.
10_MC05," Yes: I am using non-human study subjects, and researchers collecting data are ignorant of each subject's treatment group."
10_MC06,No: researchers are aware of the treatment groups.
10_NAV,Blinding
11_QUESTION,Study design
11_EXPLAIN,"Describe your study design. Examples include two-group, factorial, randomized block, and repeated measures. Is it a between or within-subject design? Describe any counterbalancing required. Typical study designs for observation studies include cohort, cross sectional, and case-control studies. You will be asked to define your variables in detail in the upcoming sections."
11_HELP,"In our between-subject design, each of the 280 expected participants will taste one of the four levels of brownies (1X4)"
11_NAV,Study Design
12_QUESTION,Predictor variable(s)
12_EXPLAIN,"Define your predictor or independent variable(s). If you have categorical predictors, describe the levels for each. If your predictor variables are constructed from multiple measurements, you will be asked later on to describe how they are created. "
12_HELP,"Our predictor is the amount of sugar added per brownie. The dry ingredients for each brownie will contain 15%, 20%, 25%, or 40% cane sugar by mass."
12_NAV,Predictors
